using cpu device.
train epoch[20/20] loss:0.000
train epoch[20/20] loss:0.000
train epoch[20/20] loss:0.000
train epoch[20/20] loss:0.000
train epoch[20/20] loss:0.000
train epoch[20/20] loss:0.000
train epoch[20/20] loss:0.000
train epoch[20/20] loss:0.000
train epoch[20/20] loss:0.000
train epoch[20/20] loss:0.000
train epoch[20/20] loss:0.000
Finished Training
using cpu device.
train epoch[1/20] loss:16.578
train epoch[1/20] loss:19.964
train epoch[1/20] loss:20.242
train epoch[1/20] loss:17.654
train epoch[1/20] loss:15.035
train epoch[1/20] loss:20.808
train epoch[1/20] loss:20.473
train epoch[1/20] loss:19.282
train epoch[1/20] loss:16.976
train epoch[1/20] loss:21.761
train epoch[1/20] loss:20.668
train epoch[1/20] loss:21.936
train epoch[1/20] loss:21.703
train epoch[1/20] loss:21.049
train epoch[1/20] loss:19.940
train epoch[1/20] loss:18.198
train epoch[1/20] loss:16.559
train epoch[1/20] loss:14.704
train epoch[1/20] loss:13.336
train epoch[1/20] loss:11.872
train epoch[1/20] loss:10.336
train epoch[1/20] loss:8.626
train epoch[1/20] loss:6.665
train epoch[1/20] loss:4.734
train epoch[2/20] loss:30.478
train epoch[2/20] loss:28.904
train epoch[2/20] loss:30.353
train epoch[2/20] loss:30.581
train epoch[2/20] loss:30.406
train epoch[2/20] loss:33.214
train epoch[2/20] loss:33.072
train epoch[2/20] loss:32.621
train epoch[2/20] loss:32.019
train epoch[2/20] loss:28.853
train epoch[2/20] loss:29.290
train epoch[2/20] loss:28.086
train epoch[2/20] loss:27.546
train epoch[2/20] loss:3.899
train epoch[2/20] loss:4.340
train epoch[2/20] loss:4.717
train epoch[2/20] loss:4.797
train epoch[2/20] loss:4.604
train epoch[2/20] loss:4.467
train epoch[2/20] loss:4.129
train epoch[2/20] loss:3.552
train epoch[2/20] loss:2.885
train epoch[2/20] loss:2.096
train epoch[2/20] loss:1.327
train epoch[3/20] loss:29.422
train epoch[3/20] loss:28.987
train epoch[3/20] loss:28.389
train epoch[3/20] loss:28.395
train epoch[3/20] loss:28.114
train epoch[3/20] loss:29.038
train epoch[3/20] loss:28.600
train epoch[3/20] loss:27.960
train epoch[3/20] loss:27.128
train epoch[3/20] loss:28.682
train epoch[3/20] loss:27.829
train epoch[3/20] loss:27.082
train epoch[3/20] loss:26.087
train epoch[3/20] loss:4.518
train epoch[3/20] loss:5.106
train epoch[3/20] loss:5.633
train epoch[3/20] loss:5.762
train epoch[3/20] loss:5.518
train epoch[3/20] loss:5.717
train epoch[3/20] loss:5.304
train epoch[3/20] loss:4.613
train epoch[3/20] loss:3.882
train epoch[3/20] loss:3.105
train epoch[3/20] loss:2.185
train epoch[4/20] loss:26.428
train epoch[4/20] loss:27.389
train epoch[4/20] loss:26.098
train epoch[4/20] loss:26.031
train epoch[4/20] loss:25.635
train epoch[4/20] loss:26.080
train epoch[4/20] loss:25.697
train epoch[4/20] loss:25.014
train epoch[4/20] loss:24.306
train epoch[4/20] loss:25.739
train epoch[4/20] loss:25.395
train epoch[4/20] loss:24.277
train epoch[4/20] loss:23.296
train epoch[4/20] loss:5.472
train epoch[4/20] loss:5.880
train epoch[4/20] loss:6.608
train epoch[4/20] loss:6.483
train epoch[4/20] loss:6.260
train epoch[4/20] loss:6.708
train epoch[4/20] loss:6.089
train epoch[4/20] loss:5.257
train epoch[4/20] loss:4.591
train epoch[4/20] loss:3.694
train epoch[4/20] loss:2.684
train epoch[5/20] loss:23.519
train epoch[5/20] loss:24.448
train epoch[5/20] loss:23.671
train epoch[5/20] loss:23.341
train epoch[5/20] loss:22.651
train epoch[5/20] loss:21.173
train epoch[5/20] loss:20.504
train epoch[5/20] loss:19.529
train epoch[5/20] loss:18.413
train epoch[5/20] loss:22.258
train epoch[5/20] loss:22.153
train epoch[5/20] loss:21.085
train epoch[5/20] loss:19.438
train epoch[5/20] loss:6.081
train epoch[5/20] loss:6.621
train epoch[5/20] loss:7.173
train epoch[5/20] loss:6.791
train epoch[5/20] loss:6.421
train epoch[5/20] loss:6.868
train epoch[5/20] loss:5.619
train epoch[5/20] loss:4.440
train epoch[5/20] loss:3.395
train epoch[5/20] loss:2.187
train epoch[5/20] loss:1.077
train epoch[6/20] loss:18.896
train epoch[6/20] loss:20.110
train epoch[6/20] loss:17.318
train epoch[6/20] loss:16.715
train epoch[6/20] loss:15.738
train epoch[6/20] loss:13.998
train epoch[6/20] loss:13.354
train epoch[6/20] loss:12.795
train epoch[6/20] loss:12.251
train epoch[6/20] loss:17.557
train epoch[6/20] loss:17.908
train epoch[6/20] loss:17.983
train epoch[6/20] loss:17.852
train epoch[6/20] loss:0.355
train epoch[6/20] loss:0.266
train epoch[6/20] loss:0.411
train epoch[6/20] loss:0.279
train epoch[6/20] loss:0.242
train epoch[6/20] loss:1.745
train epoch[6/20] loss:0.141
train epoch[6/20] loss:0.067
train epoch[6/20] loss:0.028
train epoch[6/20] loss:0.016
train epoch[6/20] loss:0.011
train epoch[7/20] loss:17.759
train epoch[7/20] loss:17.514
train epoch[7/20] loss:15.335
train epoch[7/20] loss:14.575
train epoch[7/20] loss:13.618
train epoch[7/20] loss:12.879
train epoch[7/20] loss:13.243
train epoch[7/20] loss:13.142
train epoch[7/20] loss:12.805
train epoch[7/20] loss:16.556
train epoch[7/20] loss:16.923
train epoch[7/20] loss:16.301
train epoch[7/20] loss:17.116
train epoch[7/20] loss:0.007
train epoch[7/20] loss:0.004
train epoch[7/20] loss:0.003
train epoch[7/20] loss:0.003
train epoch[7/20] loss:0.010
train epoch[7/20] loss:0.016
train epoch[7/20] loss:0.028
train epoch[7/20] loss:0.034
train epoch[7/20] loss:0.010
train epoch[7/20] loss:0.015
train epoch[7/20] loss:0.013
train epoch[8/20] loss:16.563
train epoch[8/20] loss:15.908
train epoch[8/20] loss:15.978
train epoch[8/20] loss:15.609
train epoch[8/20] loss:14.966
train epoch[8/20] loss:10.361
train epoch[8/20] loss:10.117
train epoch[8/20] loss:9.516
train epoch[8/20] loss:8.725
train epoch[8/20] loss:16.726
train epoch[8/20] loss:17.030
train epoch[8/20] loss:16.914
train epoch[8/20] loss:17.699
train epoch[8/20] loss:0.049
train epoch[8/20] loss:0.017
train epoch[8/20] loss:0.013
train epoch[8/20] loss:0.007
train epoch[8/20] loss:0.075
train epoch[8/20] loss:0.026
train epoch[8/20] loss:0.029
train epoch[8/20] loss:0.018
train epoch[8/20] loss:0.007
train epoch[8/20] loss:0.007
train epoch[8/20] loss:0.005
train epoch[9/20] loss:16.781
train epoch[9/20] loss:17.185
train epoch[9/20] loss:9.809
train epoch[9/20] loss:9.712
train epoch[9/20] loss:9.210
train epoch[9/20] loss:9.577
train epoch[9/20] loss:8.781
train epoch[9/20] loss:7.635
train epoch[9/20] loss:6.443
train epoch[9/20] loss:16.954
train epoch[9/20] loss:17.304
train epoch[9/20] loss:16.928
train epoch[9/20] loss:16.658
train epoch[9/20] loss:0.002
train epoch[9/20] loss:0.002
train epoch[9/20] loss:0.002
train epoch[9/20] loss:0.002
train epoch[9/20] loss:0.005
train epoch[9/20] loss:0.008
train epoch[9/20] loss:0.012
train epoch[9/20] loss:0.015
train epoch[9/20] loss:0.006
train epoch[9/20] loss:0.006
train epoch[9/20] loss:0.006
train epoch[10/20] loss:20.076
train epoch[10/20] loss:19.717
train epoch[10/20] loss:16.988
train epoch[10/20] loss:15.194
train epoch[10/20] loss:13.942
train epoch[10/20] loss:4.479
train epoch[10/20] loss:4.342
train epoch[10/20] loss:3.631
train epoch[10/20] loss:2.656
train epoch[10/20] loss:14.121
train epoch[10/20] loss:14.507
train epoch[10/20] loss:13.914
train epoch[10/20] loss:15.341
train epoch[10/20] loss:0.002
train epoch[10/20] loss:0.001
train epoch[10/20] loss:0.001
train epoch[10/20] loss:0.001
train epoch[10/20] loss:0.001
train epoch[10/20] loss:0.002
train epoch[10/20] loss:0.002
train epoch[10/20] loss:0.002
train epoch[10/20] loss:0.001
train epoch[10/20] loss:0.001
train epoch[10/20] loss:0.001
train epoch[11/20] loss:17.149
train epoch[11/20] loss:19.541
train epoch[11/20] loss:7.282
train epoch[11/20] loss:6.566
train epoch[11/20] loss:5.161
train epoch[11/20] loss:0.014
train epoch[11/20] loss:0.011
train epoch[11/20] loss:0.009
train epoch[11/20] loss:0.010
train epoch[11/20] loss:17.298
train epoch[11/20] loss:18.986
train epoch[11/20] loss:19.422
train epoch[11/20] loss:15.265
train epoch[11/20] loss:0.001
train epoch[11/20] loss:0.001
train epoch[11/20] loss:0.001
train epoch[11/20] loss:0.002
train epoch[11/20] loss:0.006
train epoch[11/20] loss:0.016
train epoch[11/20] loss:0.030
train epoch[11/20] loss:0.040
train epoch[11/20] loss:0.021
train epoch[11/20] loss:0.029
train epoch[11/20] loss:0.034
train epoch[12/20] loss:15.307
train epoch[12/20] loss:16.194
train epoch[12/20] loss:14.890
train epoch[12/20] loss:13.650
train epoch[12/20] loss:11.994
train epoch[12/20] loss:0.124
train epoch[12/20] loss:0.091
train epoch[12/20] loss:0.070
train epoch[12/20] loss:0.056
train epoch[12/20] loss:16.330
train epoch[12/20] loss:14.977
train epoch[12/20] loss:16.921
train epoch[12/20] loss:15.184
train epoch[12/20] loss:0.018
train epoch[12/20] loss:0.015
train epoch[12/20] loss:0.017
train epoch[12/20] loss:0.016
train epoch[12/20] loss:0.069
train epoch[12/20] loss:0.124
train epoch[12/20] loss:0.172
train epoch[12/20] loss:0.098
train epoch[12/20] loss:0.043
train epoch[12/20] loss:0.043
train epoch[12/20] loss:0.026
train epoch[13/20] loss:14.895
train epoch[13/20] loss:17.099
train epoch[13/20] loss:2.606
train epoch[13/20] loss:1.577
train epoch[13/20] loss:0.584
train epoch[13/20] loss:0.238
train epoch[13/20] loss:0.152
train epoch[13/20] loss:0.093
train epoch[13/20] loss:0.064
train epoch[13/20] loss:14.855
train epoch[13/20] loss:18.564
train epoch[13/20] loss:15.388
train epoch[13/20] loss:12.256
train epoch[13/20] loss:0.001
train epoch[13/20] loss:0.001
train epoch[13/20] loss:0.001
train epoch[13/20] loss:0.001
train epoch[13/20] loss:0.001
train epoch[13/20] loss:0.002
train epoch[13/20] loss:0.002
train epoch[13/20] loss:0.002
train epoch[13/20] loss:0.002
train epoch[13/20] loss:0.002
train epoch[13/20] loss:0.002
train epoch[14/20] loss:16.012
train epoch[14/20] loss:14.223
train epoch[14/20] loss:0.767
train epoch[14/20] loss:0.581
train epoch[14/20] loss:0.258
train epoch[14/20] loss:0.007
train epoch[14/20] loss:0.006
train epoch[14/20] loss:0.006
train epoch[14/20] loss:0.006
train epoch[14/20] loss:12.129
train epoch[14/20] loss:15.038
train epoch[14/20] loss:11.707
train epoch[14/20] loss:16.372
train epoch[14/20] loss:0.001
train epoch[14/20] loss:0.001
train epoch[14/20] loss:0.001
train epoch[14/20] loss:0.000
train epoch[14/20] loss:0.001
train epoch[14/20] loss:0.001
train epoch[14/20] loss:0.001
train epoch[14/20] loss:0.002
train epoch[14/20] loss:0.001
